,Time,Chan1,Chan2,Trial,LED_State
1371,648240,0,0,0,0
1372,648704,0,0,0,0
1373,649176,0,0,0,0
1374,649648,0,2,0,0
1375,650120,0,7,0,0
1376,650600,0,2,0,0
1377,651076,0,2,0,0
1378,651544,0,6,0,0
1379,652016,0,0,0,0
1380,652496,0,2,0,0
1381,652960,0,6,0,0
1382,653440,0,0,0,0
1383,653908,0,2,0,0
1384,654384,0,1,0,0
1385,654852,0,0,0,0
1386,655320,0,0,0,0
1387,655792,0,0,0,0
1388,656264,0,0,0,0
1389,656744,0,2,0,0
1390,657220,0,6,0,0
1391,657692,0,1,0,0
1392,658160,0,2,0,0
1393,658640,0,0,0,0
1394,659104,0,2,0,0
1395,659584,0,0,0,0
1396,660048,0,2,0,0
1397,660528,0,2,0,0
1398,660992,0,0,0,0
1399,661464,0,2,0,0
1400,661936,0,0,0,0
1401,662408,0,0,0,0
1402,662888,0,0,0,0
1403,663360,0,2,0,0
1404,663832,0,2,0,0
1405,664308,0,0,0,0
1406,664784,0,2,0,0
1407,665252,0,7,0,0
1408,665728,0,2,0,0
1409,666192,0,2,0,0
1410,666672,0,7,0,0
1411,667140,0,2,0,0
1412,667608,0,2,0,0
1413,668084,0,6,0,0
1414,668552,0,0,0,0
1415,669068,0,0,1,1
1416,669544,0,0,1,1
1417,670016,0,0,1,1
1418,670488,0,3,1,1
1419,670960,0,7,1,1
1420,671432,0,2,1,1
1421,671912,0,3,1,1
1422,672380,0,7,1,1
1423,672856,0,0,1,1
1424,673324,0,3,1,1
1425,673800,0,7,1,1
1426,674264,0,2,1,1
1427,674736,0,3,1,1
1428,675208,0,0,1,1
1429,675680,0,0,1,1
1430,676152,0,0,1,1
1431,676624,0,0,1,1
1432,677104,0,1,1,1
1433,677580,0,3,1,1
1434,678056,0,7,1,1
1435,678520,0,0,1,1
1436,679000,0,3,1,1
1437,679464,0,2,1,1
1438,679944,0,3,1,1
1439,680408,0,0,1,1
1440,680880,0,2,1,1
1441,681352,0,3,1,1
1442,681824,0,0,1,1
1443,682296,0,2,1,1
1444,682768,0,0,1,1
1445,683248,0,0,1,1
1446,683720,0,0,1,1
1447,684200,0,3,1,1
1448,684664,0,2,1,1
1449,685144,0,2,1,1
1450,685608,0,3,1,1
1451,686088,0,7,1,1
1452,686552,0,2,1,1
1453,687024,0,3,1,1
1454,687500,0,7,1,1
1455,687972,0,2,1,1
1456,688444,0,3,1,1
1457,688916,0,7,1,1
1458,689392,0,0,1,1
1459,689868,0,0,1,1
1460,690344,0,0,1,1
1461,690808,0,0,1,1
1462,691288,0,3,1,1
1463,691752,0,7,1,1
1464,692232,0,2,1,1
1465,692696,0,3,1,1
1466,693168,0,7,1,1
1467,693640,0,0,1,1
1468,694112,0,3,1,1
1469,694588,0,7,1,1
1470,695060,0,2,1,1
1471,695536,0,3,1,1
1472,696008,0,0,1,1
1473,696488,0,0,1,1
1474,696952,0,0,1,1
1475,697432,0,0,1,1
1476,697896,0,0,1,1
1477,698376,2,0,1,1
1478,698840,6,0,1,1
1479,699312,2,0,1,1
1480,699784,2,0,1,1
1481,700256,6,0,1,1
1482,700728,0,0,1,1
1483,701200,2,0,1,1
1484,701680,0,0,1,1
1485,702152,2,0,1,1
1486,702632,0,0,1,1
1487,703100,0,0,1,1
1488,703576,0,0,1,1
1489,704040,0,0,1,1
1490,704520,0,0,1,1
1491,704984,2,0,1,1
1492,705456,2,0,1,1
1493,705964,0,0,2,0
1494,706476,2,0,3,1
1495,706952,4,0,3,1
1496,707424,2,0,3,1
1497,707896,2,0,3,1
1498,708368,6,0,3,1
1499,708848,2,0,3,1
1500,709320,2,0,3,1
1501,709800,6,0,3,1
1502,710272,0,0,3,1
1503,710752,0,0,3,1
1504,711216,0,0,3,1
1505,711696,0,0,3,1
1506,712160,2,0,3,1
1507,712632,6,0,3,1
1508,713108,2,0,3,1
1509,713576,2,0,3,1
1510,714048,6,0,3,1
1511,714520,2,0,3,1
1512,714992,2,0,3,1
1513,715464,6,0,3,1
1514,715944,0,0,3,1
1515,716408,0,0,3,1
1516,716888,0,0,3,1
1517,717356,0,0,3,1
1518,717832,0,0,3,1
1519,718296,0,0,3,1
1520,718768,0,0,3,1
1521,719244,2,0,3,1
1522,719716,6,0,3,1
1523,720184,2,0,3,1
1524,720660,2,0,3,1
1525,721136,0,0,3,1
1526,721608,2,0,3,1
1527,722088,2,0,3,1
1528,722552,1,0,3,1
1529,723032,2,0,3,1
1530,723500,0,0,3,1
1531,723976,2,0,3,1
1532,724440,0,0,3,1
1533,724912,0,0,3,1
1534,725388,0,0,3,1
1535,725856,2,0,3,1
1536,726328,2,0,3,1
1537,726804,0,0,3,1
1538,727280,2,0,3,1
1539,727756,1,0,3,1
1540,728232,2,0,3,1
1541,728696,2,0,3,1
1542,729176,6,0,3,1
1543,729640,2,0,3,1
1544,730120,2,0,3,1
1545,730584,6,0,3,1
1546,731056,0,0,3,1
1547,731528,0,0,3,1
1548,732000,0,0,3,1
1549,732472,0,0,3,1
1550,732944,2,0,3,1
1551,733424,5,0,3,1
1552,733896,2,0,3,1
1553,734376,2,0,3,1
1554,734844,6,0,3,1
1555,735320,2,0,3,1
1556,735784,2,0,3,1
1557,736264,6,0,3,1
1558,736740,0,0,3,1
1559,737212,0,0,3,1
1560,737680,0,0,3,1
1561,738152,0,0,3,1
1562,738624,0,0,3,1
1563,739100,0,0,3,1
1564,739568,0,0,3,1
1565,740040,2,0,3,1
1566,740520,6,0,3,1
1567,740988,2,0,3,1
1568,741464,2,0,3,1
1569,741928,1,0,3,1
1570,742408,2,0,3,1
1571,742872,2,0,3,1
1572,743348,0,0,3,1
1573,743816,2,0,3,1
1574,744288,0,0,3,1
1575,744760,2,0,3,1
1576,745232,0,0,3,1
1577,745712,0,0,3,1
1578,746184,0,0,3,1
1579,746664,2,0,3,1
1580,747128,2,0,3,1
1581,747608,0,0,3,1
1582,748072,2,0,3,1
1583,748552,0,0,3,1
1584,749016,2,0,3,1
1585,749488,2,0,3,1
1586,749960,6,0,3,1
1587,750432,2,0,3,1
1588,750904,2,0,3,1
1589,751376,6,0,3,1
1590,751856,0,0,3,1
1591,752328,0,0,3,1
1592,752808,0,0,3,1
1593,753276,0,0,3,1
1594,753752,2,0,3,1
1595,754216,2,0,3,1
1596,754696,2,0,3,1
1597,755164,2,0,3,1
1598,755644,6,0,3,1
1599,756120,2,0,3,1
1600,756592,2,0,3,1
1601,757064,6,0,3,1
1602,757536,0,0,3,1
1603,758008,2,0,3,1
1604,758480,0,0,3,1
1605,758960,0,0,3,1
1606,759424,0,0,3,1
1607,759904,0,0,3,1
1608,760368,0,0,3,1
1609,760848,2,0,3,1
1610,761312,6,0,3,1
1611,761784,2,0,3,1
1612,762260,2,0,3,1
1613,762728,1,0,3,1
1614,763200,2,0,3,1
1615,763672,2,0,3,1
1616,764144,0,0,3,1
1617,764616,2,0,3,1
1618,765096,0,0,3,1
1619,765560,2,0,3,1
1620,766040,0,0,3,1
1621,766504,0,0,3,1
1622,766984,0,0,3,1
1623,767452,2,0,3,1
1624,767924,2,0,3,1
1625,768392,0,0,3,1
1626,768864,2,0,3,1
1627,769340,0,0,3,1
1628,769808,2,0,3,1
1629,770288,2,0,3,1
1630,770760,6,0,3,1
1631,771240,2,0,3,1
1632,771704,2,0,3,1
1633,772184,6,0,3,1
1634,772656,0,0,3,1
1635,773136,0,0,3,1
1636,773600,0,0,3,1
1637,774072,0,0,3,1
1638,774548,2,0,3,1
1639,775016,0,0,3,1
1640,775488,2,0,3,1
1641,775960,2,0,3,1
1642,776436,6,0,3,1
1643,776904,2,0,3,1
1644,777384,2,0,3,1
1645,777852,6,0,3,1
1646,778328,0,0,3,1
1647,778792,2,0,3,1
1648,779272,0,0,3,1
1649,779736,0,0,3,1
1650,780212,0,0,3,1
1651,780680,0,0,3,1
1652,781152,0,0,3,1
1653,781624,2,0,3,1
1654,782096,6,0,3,1
1655,782576,2,0,3,1
1656,783048,2,0,3,1
1657,783528,3,0,3,1
1658,783992,2,0,3,1
1659,784472,2,0,3,1
1660,784940,0,0,3,1
1661,785416,2,0,3,1
1662,785880,0,0,3,1
1663,786352,1,0,3,1
1664,786824,0,0,3,1
1665,787296,0,0,3,1
1666,787768,0,0,3,1
1667,788240,2,0,3,1
1668,788720,2,0,3,1
1669,789192,0,0,3,1
1670,789672,2,0,3,1
1671,790140,0,0,3,1
1672,790616,2,0,3,1
1673,791088,2,0,3,1
1674,791568,6,0,3,1
1675,792036,2,0,3,1
1676,792504,2,0,3,1
1677,792976,6,0,3,1
1678,793448,0,0,3,1
1679,793920,0,0,3,1
1680,794392,0,0,3,1
1681,794868,0,0,3,1
1682,795336,2,0,3,1
1683,795816,0,0,3,1
1684,796280,2,0,3,1
1685,796760,2,0,3,1
1686,797228,6,0,3,1
1687,797704,2,0,3,1
1688,798172,2,0,3,1
1689,798644,6,0,3,1
1690,799116,1,0,3,1
1691,799584,2,0,3,1
1692,800060,0,0,3,1
1693,800532,0,0,3,1
1694,801008,0,0,3,1
1695,801480,0,0,3,1
1696,801960,0,0,3,1
1697,802424,2,0,3,1
1698,802904,6,0,3,1
1699,803380,2,0,3,1
1700,803856,2,0,3,1
1701,804320,6,0,3,1
1702,804792,2,0,3,1
1703,805264,2,0,3,1
1704,805736,0,0,3,1
1705,806212,2,0,3,1
1706,806684,0,0,3,1
1707,807152,0,0,3,1
1708,807624,0,0,3,1
1709,808104,0,0,3,1
1710,808568,0,0,3,1
1711,809048,2,0,3,1
1712,809512,2,0,3,1
1713,809992,1,0,3,1
1714,810456,0,0,3,1
1715,810928,0,0,3,1
1716,811400,2,0,3,1
1717,811876,2,0,3,1
1718,812344,4,0,3,1
1719,812816,2,0,3,1
1720,813296,2,0,3,1
1721,813768,6,0,3,1
1722,814248,0,0,3,1
1723,814712,0,0,3,1
1724,815192,0,0,3,1
1725,815656,0,0,3,1
1726,816136,2,0,3,1
1727,816600,0,0,3,1
1728,817076,2,0,3,1
1729,817544,2,0,3,1
1730,818016,6,0,3,1
1731,818488,2,0,3,1
1732,818960,2,0,3,1
