Time,Chan1,Chan2,Trial,LED_State
41187004,0,2,266,0
41373824,2,0,267,1
41495680,0,6,268,0
41563608,0,0,269,1
41702452,0,0,270,0
41801264,2,0,271,1
41952084,0,0,272,0
42022992,6,0,273,1
42129864,0,2,274,0
42336652,0,0,275,1
42507468,0,2,276,0
42644320,0,0,277,1
42710188,0,2,278,0
42767088,2,0,279,1
42902916,0,17,280,0
43067780,0,0,281,1
43131656,0,0,282,0
43314512,2,0,283,1
43559132,0,2,284,0
43728948,0,0,285,1
43854728,0,2,286,0
43970592,0,0,287,1
44082460,0,0,288,0
44292268,0,0,289,1
44409144,0,2,290,0
44614864,0,0,291,1
44733724,0,0,292,0
44886504,0,0,293,1
45125212,0,17,294,0
45196128,17,17,295,1
45420848,17,17,296,0
45578712,0,0,297,1
45751500,0,0,298,0
45994192,6,0,299,1
46063104,0,0,300,0
46253848,6,0,301,1
46310896,0,0,302,0
46519504,17,17,303,1
46767236,0,2,304,0
46887084,2,0,305,1
47047888,0,17,306,0
47279600,2,0,307,1
47363524,0,0,308,0
47571224,0,0,309,1
47745128,0,2,310,0
47991784,0,0,311,1
48098668,0,6,312,0
48307412,2,0,313,1
48387288,0,2,314,0
48440268,0,0,315,1
48524196,0,6,316,0
48705920,0,0,317,1
48934588,0,0,318,0
49087500,6,0,319,1
49290148,0,0,320,0
49528848,0,0,321,1
49732600,0,0,322,0
49927420,0,0,323,1
50088208,0,0,324,0
50277060,0,0,325,1
50344004,17,17,326,0
50471796,0,0,327,1
50605712,0,2,328,0
50732360,0,0,329,1
50888276,0,2,330,0
50944168,0,0,331,1
51013104,0,2,332,0
51241744,6,0,333,1
51457504,0,2,334,0
51624304,2,0,335,1
51720268,0,6,336,0
51899076,0,0,337,1
51981972,0,2,338,0
52209608,0,0,339,1
52261532,0,1,340,0
52314500,0,0,341,1
52453416,0,2,342,0
52606176,2,0,343,1
52841852,0,2,344,0
52964704,1,0,345,1
53047560,0,0,346,0
53274316,2,0,347,1
53383160,0,2,348,0
53549976,0,0,349,1
53680824,0,0,350,0
53850600,2,0,351,1
53957504,0,0,352,0
54201260,0,0,353,1
54327028,0,2,354,0
54537800,6,0,355,1
54596692,0,2,356,0
54800516,2,0,357,1
54960280,0,2,358,0
55095076,0,0,359,1
55231908,0,2,360,0
55367764,2,0,361,1
55454736,0,0,362,0
55623520,2,0,363,1
55711416,0,2,364,0
55944040,2,0,365,1
56031996,0,0,366,0
56152812,0,0,367,1
56322572,0,0,368,0
56482400,17,17,369,1
56666184,0,2,370,0
56725164,0,0,371,1
56898972,0,0,372,0
56991812,0,0,373,1
57191532,0,0,374,0
57249496,4,0,375,1
57478188,0,0,376,0
57617152,6,0,377,1
57718956,0,2,378,0
57860744,2,0,379,1
57979592,0,0,380,0
58081444,2,0,381,1
58172332,0,2,382,0
58284380,17,17,383,1
58344284,0,2,384,0
58498984,2,0,385,1
58647772,0,6,386,0
58708668,0,0,387,1
58876552,0,0,388,0
59043288,6,0,389,1
59249072,0,0,390,0
59430832,0,0,391,1
59541680,0,0,392,0
59647616,2,0,393,1
59776428,0,0,394,0
59866352,0,0,395,1
60052108,0,0,396,0
60162912,2,0,397,1
60276800,0,0,398,0
60481588,6,17,399,1
60556484,0,17,400,0
