,Time,Chan1,Chan2,Trial,LED_State
84976,84976,0,0,1,1
85448,85448,2,0,2,0
85856,85856,2,0,2,0
86296,86296,5,0,2,0
86736,86736,2,0,2,0
87176,87176,2,0,2,0
87616,87616,0,0,2,0
88056,88056,2,0,2,0
88496,88496,2,0,2,0
88936,88936,1,0,2,0
89376,89376,0,0,2,0
89816,89816,0,0,2,0
90256,90256,0,0,2,0
90696,90696,0,0,2,0
91144,91144,0,0,2,0
91576,91576,2,0,2,0
92016,92016,5,0,2,0
92456,92456,2,0,2,0
92896,92896,2,0,2,0
93336,93336,5,0,2,0
93776,93776,2,0,2,0
94224,94224,2,0,2,0
94656,94656,5,0,2,0
95096,95096,2,0,2,0
95536,95536,2,0,2,0
95976,95976,5,0,2,0
96416,96416,2,0,2,0
96856,96856,0,0,2,0
97300,97300,0,0,2,0
97736,97736,0,0,2,0
98176,98176,1,0,2,0
98616,98616,2,0,2,0
99056,99056,5,0,2,0
99496,99496,2,0,2,0
99936,99936,2,0,2,0
100380,100380,5,0,2,0
100816,100816,0,0,2,0
101256,101256,2,0,2,0
101696,101696,5,0,2,0
102136,102136,2,0,2,0
102576,102576,2,0,2,0
103016,103016,5,0,2,0
103456,103456,0,0,2,0
103896,103896,0,0,2,0
104336,104336,0,0,2,0
104776,104776,0,0,2,0
105216,105216,2,0,2,0
105656,105656,1,0,2,0
106096,106096,0,0,2,0
106536,106536,0,0,2,0
106976,106976,2,0,2,0
107416,107416,0,0,2,0
107856,107856,2,0,2,0
108296,108296,2,0,2,0
108736,108736,3,0,2,0
109176,109176,1,0,2,0
109616,109616,0,0,2,0
110056,110056,0,0,2,0
110496,110496,0,0,2,0
110936,110936,0,0,2,0
111376,111376,0,0,2,0
111816,111816,0,0,2,0
112256,112256,0,2,2,0
112696,112696,0,6,2,0
113136,113136,0,2,2,0
113576,113576,0,2,2,0
114016,114016,0,6,2,0
114456,114456,0,2,2,0
114896,114896,0,2,2,0
115336,115336,0,6,2,0
115776,115776,0,2,2,0
116216,116216,0,2,2,0
116656,116656,0,5,2,0
117096,117096,0,2,2,0
117536,117536,0,0,2,0
117976,117976,0,0,2,0
